date,player,creator,projection,actual,error,absError,quality
2026-06-04,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-06-06,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-06-09,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-06-11,Aaliyah Nye,OTHER,0.2,1,0.8,0.8,GOLD
2026-06-14,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-07-11,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-07-17,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-08-03,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-08-05,Aaliyah Nye,OTHER,0.2,0,-0.2,0.2,GOLD
2026-06-17,Aicha Coulibaly,OTHER,0.8,1,0.19999999999999996,0.19999999999999996,GOLD
2026-06-24,Aicha Coulibaly,OTHER,0.8,1,0.19999999999999996,0.19999999999999996,GOLD
2026-06-28,Aicha Coulibaly,OTHER,0.8,0,-0.8,0.8,GOLD
2026-07-03,Aicha Coulibaly,OTHER,0.7,0,-0.7,0.7,GOLD
2026-07-07,Aicha Coulibaly,OTHER,0.6,1,0.4,0.4,GOLD
2026-07-10,Aicha Coulibaly,OTHER,0.6,0,-0.6,0.6,GOLD
2026-07-17,Aicha Coulibaly,OTHER,0.5,0,-0.5,0.5,GOLD
2026-07-19,Aicha Coulibaly,OTHER,0.3,0,-0.3,0.3,GOLD
2026-07-22,Aicha Coulibaly,OTHER,0.3,0,-0.3,0.3,GOLD
2026-07-30,Aicha Coulibaly,OTHER,0.3,1,0.7,0.7,GOLD
2026-08-01,Aicha Coulibaly,OTHER,0.3,0,-0.3,0.3,GOLD
2026-08-03,Aicha Coulibaly,OTHER,0.3,0,-0.3,0.3,GOLD
2026-08-05,Aicha Coulibaly,OTHER,0.3,1,0.7,0.7,GOLD
2026-08-08,Aicha Coulibaly,OTHER,0.4,4,3.6,3.6,GOLD
2026-08-10,Aicha Coulibaly,OTHER,1,0,-1,1,GOLD
2026-06-06,A'ja Wilson,OTHER,2.6,3,0.3999999999999999,0.3999999999999999,GOLD
2026-06-08,A'ja Wilson,OTHER,2.9,9,6.1,6.1,GOLD
2026-06-11,A'ja Wilson,SECONDARY,3.9,4,0.10000000000000009,0.10000000000000009,GOLD
2026-06-13,A'ja Wilson,SECONDARY,4.1,1,-3.0999999999999996,3.0999999999999996,GOLD
2026-06-15,A'ja Wilson,SECONDARY,3.6,2,-1.6,1.6,GOLD
2026-06-17,A'ja Wilson,SECONDARY,3.7,3,-0.7000000000000002,0.7000000000000002,GOLD
2026-06-21,A'ja Wilson,SECONDARY,3.7,3,-0.7000000000000002,0.7000000000000002,GOLD
2026-06-23,A'ja Wilson,SECONDARY,2.9,5,2.1,2.1,GOLD
2026-06-25,A'ja Wilson,SECONDARY,3.1,0,-3.1,3.1,GOLD
2026-06-28,A'ja Wilson,SECONDARY,2.9,1,-1.9,1.9,GOLD
2026-07-09,A'ja Wilson,OTHER,2.6,3,0.3999999999999999,0.3999999999999999,GOLD
2026-07-11,A'ja Wilson,OTHER,2.6,3,0.3999999999999999,0.3999999999999999,GOLD
2026-07-12,A'ja Wilson,OTHER,2.6,2,-0.6000000000000001,0.6000000000000001,GOLD
2026-07-20,A'ja Wilson,OTHER,2.2,4,1.7999999999999998,1.7999999999999998,GOLD
2026-07-22,A'ja Wilson,OTHER,2.7,5,2.3,2.3,GOLD
2026-07-25,A'ja Wilson,SECONDARY,3.4,1,-2.4,2.4,GOLD
2026-07-28,A'ja Wilson,OTHER,3,4,1,1,GOLD
2026-07-30,A'ja Wilson,SECONDARY,3.2,6,2.8,2.8,GOLD
2026-08-01,A'ja Wilson,SECONDARY,3.8,4,0.20000000000000018,0.20000000000000018,GOLD
2026-08-03,A'ja Wilson,SECONDARY,3.8,4,0.20000000000000018,0.20000000000000018,GOLD
2026-08-06,A'ja Wilson,SECONDARY,3.7,3,-0.7000000000000002,0.7000000000000002,GOLD
2026-08-08,A'ja Wilson,SECONDARY,3.9,1,-2.9,2.9,GOLD
2026-08-11,A'ja Wilson,SECONDARY,3.5,2,-1.5,1.5,GOLD
2026-06-02,Allisha Gray,OTHER,1.2,2,0.8,0.8,GOLD
2026-06-04,Allisha Gray,OTHER,1.4,2,0.6000000000000001,0.6000000000000001,GOLD
2026-06-06,Allisha Gray,OTHER,1.5,5,3.5,3.5,GOLD
2026-06-09,Allisha Gray,OTHER,2.3,1,-1.2999999999999998,1.2999999999999998,GOLD
2026-06-11,Allisha Gray,OTHER,2,2,0,0,GOLD
2026-06-14,Allisha Gray,OTHER,2.2,7,4.8,4.8,GOLD
2026-06-18,Allisha Gray,OTHER,3,3,0,0,GOLD
2026-06-20,Allisha Gray,OTHER,3.1,1,-2.1,2.1,GOLD
2026-06-22,Allisha Gray,OTHER,2.6,3,0.3999999999999999,0.3999999999999999,GOLD
2026-06-24,Allisha Gray,OTHER,2.8,0,-2.8,2.8,GOLD
2026-06-26,Allisha Gray,OTHER,2.5,2,-0.5,0.5,GOLD
2026-06-27,Allisha Gray,OTHER,1.9,2,0.10000000000000009,0.10000000000000009,GOLD
2026-07-02,Allisha Gray,OTHER,1.8,3,1.2,1.2,GOLD
2026-07-04,Allisha Gray,OTHER,2.1,3,0.8999999999999999,0.8999999999999999,GOLD
2026-07-09,Allisha Gray,OTHER,2.1,5,2.9,2.9,GOLD
2026-07-11,Allisha Gray,OTHER,2.7,2,-0.7000000000000002,0.7000000000000002,GOLD
